anno,sito_id,sito,specie,numero_alberi,tipo_intervento,categoria_albero,categoria_sito
2020,1,Alberature Cimitero Comunale,Cipresso,108.0,Non specificato,Conifere Aghifoglie,Cimitero
2020,1,Alberature Cimitero Comunale,Yucca monumentale,1.0,Non specificato,Altro,Cimitero
2020,1,Alberature Cimitero Comunale,Bouganvillea,9.0,Non specificato,Arbusti Ornamentali,Cimitero
2020,1,Alberature Cimitero Comunale,Chamaerops,6.0,Non specificato,Palme,Cimitero
2020,1,Alberature Cimitero Comunale,Siepe Cotoneastro + Allori,,Non specificato,Altro,Cimitero
2020,2,Alberature Corso Dante,Leccio,21.0,Non specificato,Latifoglie Sempreverdi,Strade e Corsi Principali
2020,2,Alberature Corso Dante,Pino,1.0,Non specificato,"Conifere Aghifoglie, Forestali, Barriera Frangivento",Strade e Corsi Principali
2020,3,"Alberature e verde, Piazzale mercato settimanale ed aree immediatamente limitrofe",Pino,33.0,Non specificato,"Conifere Aghifoglie, Forestali, Barriera Frangivento",Piazze e Piazzette
2020,3,"Alberature e verde, Piazzale mercato settimanale ed aree immediatamente limitrofe",Leccio,31.0,Non specificato,Latifoglie Sempreverdi,Piazze e Piazzette
2020,3,"Alberature e verde, Piazzale mercato settimanale ed aree immediatamente limitrofe",Ligustro,10.0,Non specificato,Arbusti Ornamentali,Piazze e Piazzette
2020,3,"Alberature e verde, Piazzale mercato settimanale ed aree immediatamente limitrofe",Siepe Alloro,,Non specificato,Altro,Piazze e Piazzette
2020,4,Alberature in 2^ trav. Toselli,Ligustro,10.0,Non specificato,Arbusti Ornamentali,Altro
2020,5,Alberature isole SpartitrafFico Via Cappuccini ang. Giuliodibari + Via Colapiccoli,Albizia,8.0,Non specificato,Alberi Esotici e Tropicali,Strade e Corsi Principali
2020,5,Alberature isole SpartitrafFico Via Cappuccini ang. Giuliodibari + Via Colapiccoli,Olmo,2.0,Non specificato,Latifoglie Decidue,Strade e Corsi Principali
2020,6,Alberature Lungomare Esercito Italiano ( levante ),Tamerici,36.0,Non specificato,Altro,Lungomare
2020,7,Alberature Lungomare Marina italiana + ex zona bagni,Tamerici,123.0,Non specificato,Altro,Lungomare
2020,8,"Alberature Piazza Garibaldi ( Lato Istituto Vitt. Emanuele, sino a Via Piano)",Catalpa,18.0,Non specificato,Altro,Strade e Corsi Principali
2020,8,"Alberature Piazza Garibaldi ( Lato Istituto Vitt. Emanuele, sino a Via Piano)",Robinia,3.0,Non specificato,"Attira Impollinatori, Fissatori di Azoto",Strade e Corsi Principali
2020,9,Alberature Piazza Garibaldi ( Lato prosecuzione Via Piano),Leccio,17.0,Non specificato,Latifoglie Sempreverdi,Strade e Corsi Principali
2020,10,Alberature Piazza Porto,Palma,1.0,Non specificato,Altro,Piazze e Piazzette
2020,10,Alberature Piazza Porto,Robinia,7.0,Non specificato,"Attira Impollinatori, Fissatori di Azoto",Piazze e Piazzette
2020,10,Alberature Piazza Porto,Albizia,7.0,Non specificato,Alberi Esotici e Tropicali,Piazze e Piazzette
2020,11,Alberature Piazza Risorgimento,Palma,1.0,Non specificato,Altro,Piazze e Piazzette
2020,11,Alberature Piazza Risorgimento,Platano orientale,18.0,Non specificato,Altro,Piazze e Piazzette
2020,12,Alberature Piazza Vitt. Emanuele II°,Prunus pissardii,48.0,Non specificato,Altro,Piazze e Piazzette
2020,12,Alberature Piazza Vitt. Emanuele II°,Oleandri,44.0,Non specificato,Altro,Piazze e Piazzette
2020,12,Alberature Piazza Vitt. Emanuele II°,Palme (ingr. Ist.),1.0,Non specificato,Altro,Piazze e Piazzette
2020,13,Alberature Piazzetta ang. Via Milano/Iacobellis,Ligustro,9.0,Non specificato,Arbusti Ornamentali,Strade e Corsi Principali
2020,14,Alberature Piazzetta compresa tra Palazzine IACP Via Toselli civ 83 (piazza Sicolo),Olmi,2.0,Non specificato,Altro,Strade e Corsi Principali
2020,14,Alberature Piazzetta compresa tra Palazzine IACP Via Toselli civ 83 (piazza Sicolo),Pino,1.0,Non specificato,"Conifere Aghifoglie, Forestali, Barriera Frangivento",Strade e Corsi Principali
2020,14,Alberature Piazzetta compresa tra Palazzine IACP Via Toselli civ 83 (piazza Sicolo),Non specificato,,Non specificato,Altro,Strade e Corsi Principali
2020,15,Alberature Piazzetta Spinelli,Tiglio,14.0,Non specificato,"Ombreggianti, Attira Impollinatori",Piazze e Piazzette
2020,16,Alberature Piazzetta Via Marconi ang. Via G. Sasso (London Pub),Tiglio,15.0,Non specificato,"Ombreggianti, Attira Impollinatori",Strade e Corsi Principali
2020,17,Alberature Piazzette Via Toselli ang. Via Firenze + Via San Severino + Via Firenze,Cercis,7.0,Non specificato,Altro,Strade e Corsi Principali
2020,17,Alberature Piazzette Via Toselli ang. Via Firenze + Via San Severino + Via Firenze,Tiglio,32.0,Non specificato,"Ombreggianti, Attira Impollinatori",Strade e Corsi Principali
2020,18,Alberature Via B. Lupis (tratto tra Via Toselli a Via A. Daconto),Tiglio,10.0,Non specificato,"Ombreggianti, Attira Impollinatori",Strade e Corsi Principali
2020,19,Alberature Via Bitonto (da Via Napoli a ex ingresso AFP),Albizia,2.0,Non specificato,Alberi Esotici e Tropicali,Strade e Corsi Principali
2020,19,Alberature Via Bitonto (da Via Napoli a ex ingresso AFP),Ailanto,10.0,Non specificato,Altro,Strade e Corsi Principali
2020,20,Alberature via Cappuccini (zona Mercato Giornaliero e Parco Rimembranze),Leccio,65.0,Non specificato,Latifoglie Sempreverdi,Strade e Corsi Principali
2020,20,Alberature via Cappuccini (zona Mercato Giornaliero e Parco Rimembranze),Ulivo,2.0,Non specificato,Alberi da Frutto,Strade e Corsi Principali
2020,20,Alberature via Cappuccini (zona Mercato Giornaliero e Parco Rimembranze),Olmo,11.0,Non specificato,Latifoglie Decidue,Strade e Corsi Principali
2020,21,Alberature Via Crocifisso e strada di collegamento ex SS 16,Tamerici,30.0,Non specificato,Altro,Strade e Corsi Principali
2020,21,Alberature Via Crocifisso e strada di collegamento ex SS 16,Cipresso,95.0,Non specificato,Conifere Aghifoglie,Strade e Corsi Principali
2020,22,Alberature Via Dalmazia (da Via A. Molino a Via Ten. Devenuto),Tiglio,9.0,Non specificato,"Ombreggianti, Attira Impollinatori",Strade e Corsi Principali
2020,23,Alberature Via De Gasperi (da Via Framarino a Via Bitonto) + liceo classico ingresso,Pino,7.0,Non specificato,"Conifere Aghifoglie, Forestali, Barriera Frangivento",Strade e Corsi Principali
2020,23,Alberature Via De Gasperi (da Via Framarino a Via Bitonto) + liceo classico ingresso,Ligustro,3.0,Non specificato,Arbusti Ornamentali,Strade e Corsi Principali
2020,24,Alberature Via Durazzo,Tamerici,23.0,Non specificato,Altro,Strade e Corsi Principali
2020,25,Alberature Via Magg. Zeverino,Robinia pseudoacacia,4.0,Non specificato,Altro,Strade e Corsi Principali
2020,26,Alberature Via Marconi + P.zza  S. Agostino,Ailanto,35.0,Non specificato,Altro,Strade e Corsi Principali
2020,26,Alberature Via Marconi + P.zza  S. Agostino,Leccio,28.0,Non specificato,Latifoglie Sempreverdi,Strade e Corsi Principali
2020,26,Alberature Via Marconi + P.zza  S. Agostino,Albizia,2.0,Non specificato,Alberi Esotici e Tropicali,Strade e Corsi Principali
2020,26,Alberature Via Marconi + P.zza  S. Agostino,Falso pepe,1.0,Non specificato,Altro,Strade e Corsi Principali
2020,27,Alberature Viale De Gaetano,Tiglio,49.0,Non specificato,"Ombreggianti, Attira Impollinatori",Strade e Corsi Principali
2020,28,Prato circostante la fontana monumentale e antistante Istituto Vitt. Emanuele,"Aiuole prato - fontana, aiuole prato ingr. Ist. V.E. II",,Non specificato,Altro,Altro
2020,29,Verde 2° trav. XX Settembre (Aiuole ),Palma,1.0,Non specificato,Altro,Altro
2020,29,Verde 2° trav. XX Settembre (Aiuole ),Pittosporo siepe,,Non specificato,Altro,Altro
2020,30,Verde attrezzato Via Ten. Devenuto ang. 2^trav. XX Settembre,Albizia,3.0,Non specificato,Alberi Esotici e Tropicali,Strade e Corsi Principali
2020,30,Verde attrezzato Via Ten. Devenuto ang. 2^trav. XX Settembre,Cipresso,3.0,Non specificato,Conifere Aghifoglie,Strade e Corsi Principali
2020,30,Verde attrezzato Via Ten. Devenuto ang. 2^trav. XX Settembre,Prunus pissardii,3.0,Non specificato,Altro,Strade e Corsi Principali
2020,30,Verde attrezzato Via Ten. Devenuto ang. 2^trav. XX Settembre,Palme,3.0,Non specificato,Altro,Strade e Corsi Principali
2020,31,Verde Campo Sportivo Comunale                                    (interno),Eucalipto,20.0,Non specificato,Altro,Altro
2020,31,Verde Campo Sportivo Comunale                                    (interno),Ligustro,1.0,Non specificato,Arbusti Ornamentali,Altro
2020,31,Verde Campo Sportivo Comunale                                    (interno),Pino,16.0,Non specificato,"Conifere Aghifoglie, Forestali, Barriera Frangivento",Altro
2020,31,Verde Campo Sportivo Comunale                                    (interno),Leccio,2.0,Non specificato,Latifoglie Sempreverdi,Altro
2020,31,Verde Campo Sportivo Comunale                                    (interno),Pittosporo siepe,,Non specificato,Altro,Altro
2020,31,Verde Campo Sportivo Comunale                                    (interno),Lauroceraso siepe,,Non specificato,Altro,Altro
2020,31,Verde Campo Sportivo Comunale                                    (interno),Ulivo,,Non specificato,Alberi da Frutto,Altro
2020,32,Verde in maglia B 4.1 Via Emil Dikinson,Ulivo,,Non specificato,Alberi da Frutto,Strade e Corsi Principali
2020,32,Verde in maglia B 4.1 Via Emil Dikinson,Falso pepe,5.0,Non specificato,Altro,Strade e Corsi Principali
2020,32,Verde in maglia B 4.1 Via Emil Dikinson,Pino,4.0,Non specificato,"Conifere Aghifoglie, Forestali, Barriera Frangivento",Strade e Corsi Principali
2020,33,Verde in maglia C1.6 ( 3^ trav. Daconto zona adiacente Cavalcaferrovia e 3^trav. Daconto ang. Via S.Ten. Deceglie) – piazzetta Buden Powell,Falso pepe,5.0,Non specificato,Altro,Strade e Corsi Principali
2020,33,Verde in maglia C1.6 ( 3^ trav. Daconto zona adiacente Cavalcaferrovia e 3^trav. Daconto ang. Via S.Ten. Deceglie) – piazzetta Buden Powell,Ligustro,4.0,Non specificato,Arbusti Ornamentali,Strade e Corsi Principali
2020,33,Verde in maglia C1.6 ( 3^ trav. Daconto zona adiacente Cavalcaferrovia e 3^trav. Daconto ang. Via S.Ten. Deceglie) – piazzetta Buden Powell,Pino,5.0,Non specificato,"Conifere Aghifoglie, Forestali, Barriera Frangivento",Strade e Corsi Principali
2020,34,Verde Piazza Kennedy,Olmi,7.0,Non specificato,Altro,Piazze e Piazzette
2020,34,Verde Piazza Kennedy,Pino,2.0,Non specificato,"Conifere Aghifoglie, Forestali, Barriera Frangivento",Piazze e Piazzette
2020,34,Verde Piazza Kennedy,Robinia,2.0,Non specificato,"Attira Impollinatori, Fissatori di Azoto",Piazze e Piazzette
2020,34,Verde Piazza Kennedy,siepe Pittosporo,,Non specificato,Altro,Piazze e Piazzette
2020,35,Verde Piazzetta compresa tra Via Cairoli e Via Bitonto,Cedro,6.0,Non specificato,Conifere Aghifoglie,Strade e Corsi Principali
2020,35,Verde Piazzetta compresa tra Via Cairoli e Via Bitonto,Chamaerops,4.0,Non specificato,Palme,Strade e Corsi Principali
2020,35,Verde Piazzetta compresa tra Via Cairoli e Via Bitonto,Ailanto,3.0,Non specificato,Altro,Strade e Corsi Principali
